n,Welcome_text.started_mean,Welcome_text.started_raw,Welcome_text.started_std,Welcome_text.stopped_raw,space1.keys_raw,space1.rt_mean,space1.rt_raw,space1.rt_std,space1.started_mean,space1.started_raw,space1.started_std,space1.stopped_raw,order
1.0,20.293455123901367,20.293455123901367,0.0,,'b',1.1575864553451538,1.1575864553451538,0.0,20.293455123901367,20.293455123901367,0.0,,0.0

extraInfo
participant,
session,001
age,
sex at birth,
dominant hand,
date,2021_Mar_08_2117
expName,Working memory load
psychopyVersion,2020.2.10
frameRate,60.01453551240934
